"cname","sname","Sequence","Order","Suborder","Infraorder","Family","Genus","Adult.survival","Age.at.first.breeding","Maximum.longevity","Z","GenFLS","GenFL","GenFS","GenLength","Priority.for.research","rmax1","perc_growth","resid"
"Orange-cheeked Waxbill","Estrilda melpoda",9755,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Estrilda",0.515113017,0.766366093,6.810562284,0.142143345,1.760685689,1.625508357,1.828702338,1.760685689,"Low",0.44225384592835,55.6210728055959,-0.0118224881937413
"Mexican Sheartail","Doricha eliza",1547,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Doricha",0.491908129,0.842951994,6.80855368,0.142143345,1.761972643,1.690922573,1.811099995,1.761972643,"Low",0.432573962499725,54.1219463521359,-0.0022867930359235
"Happy Wren","Pheugopedius felix",8612,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Troglodytidae","Pheugopedius",0.43974993,0.913565556,6.901934592,0.142143345,1.67615108,1.764772362,1.698482781,1.764772362,"Low",0.432352276573435,54.0877834725519,-0.00237841314635717
"Green Thorntail","Discosura conversii",1283,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Discosura",0.510815672,0.830057632,6.474761961,0.142143345,1.765753917,1.632414787,1.874276841,1.765753917,"Low",0.429543112518287,53.655533025348,0.000321028597068507
"Black Rail","Laterallus jamaicensis",1753,"GRUIFORMES","GRUIFORMES","GRUIFORMES","Rallidae","Laterallus",0.395035091,1,6.465401217,0.142143345,1.630099856,1.776870411,1.652988438,1.776870411,"High",0.425940884296906,53.1030264527429,0.00268492860390424
"Garden Emerald","Chlorostilbon assimilis",1404,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Chlorostilbon",0.494902488,0.850132074,6.547805319,0.142143345,1.778672871,1.660018408,1.829947805,1.778672871,"Low",0.430139530257283,53.7472032450945,-0.00171375897983556
"Golden-crowned Kinglet","Regulus satrapa",9334,"PASSERIFORMES","PASSERI","REGULOID OSCINES","Regulidae","Regulus",0.311366866,0.999452355,6.482563907,0.142143345,1.446131933,1.778840172,1.45160438,1.778840172,"Low",0.444677429196056,55.9986908432925,-0.0162702149230534
"Winter Wren","Troglodytes hiemalis",8567,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Troglodytidae","Troglodytes",0.361,1,6.5,0.142143345,1.55163588,1.781788398,1.564945227,1.781788398,"Low",0.433764136175784,54.3054874368052,-0.00568364687601725
"Stripe-tailed Hummingbird","Eupherusa eximia",1442,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Eupherusa",0.486090151,0.889707921,7.131462457,0.142143345,1.790398309,1.776931789,1.8355745,1.790398309,"Low",0.424466409220062,52.8774462031459,0.00266307163270779
"White-crested Coquette","Lophornis adorabilis",1298,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lophornis",0.497260271,0.855828091,6.608283062,0.142143345,1.791906224,1.673501283,1.844928897,1.791906224,"Low",0.428225016213901,53.4531336553534,-0.00126161155234839
"Emerald-chinned Hummingbird","Abeillia abeillei",1424,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Abeillia",0.497260271,0.855828091,6.764835079,0.142143345,1.791906224,1.69575411,1.844928897,1.791906224,"Low",0.428225016213901,53.4531336553534,-0.00126161155234839
"Black-bellied Hummingbird","Eupherusa nigriventris",1445,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Eupherusa",0.484222514,0.900713423,6.953357005,0.142143345,1.795566452,1.761056428,1.839533994,1.795566452,"Low",0.422753002984547,52.6157293112572,0.00380787086448331
"Bahama Warbler","Setophaga flavescens",10590,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Setophaga",0.489336842,0.999452355,5.1,0.142143345,1.813356324,1.582317914,1.957690353,1.813356324,"Low",0.402263209393112,49.5204832843932,0.0223531086227626
"Canyon Wren","Catherpes mexicanus",8560,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Troglodytidae","Catherpes",0.468763617,1,5.908372377,0.142143345,1.818057318,1.697692468,1.882401191,1.818057318,"Low",0.407642857700997,50.3270183917668,0.0164628691400212
"Rufous-winged Sparrow","Peucaea carpalis",10279,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Passerellidae","Peucaea",0.505706715,0.90360149,6,0.142143345,1.824628728,1.628020622,1.926691891,1.824628728,"Low",0.415927159868262,51.577545556549,0.0074670846672345
"Black-capped Gnatcatcher","Polioptila nigriceps",8547,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Polioptilidae","Polioptila",0.503007747,0.919859961,5.998614426,0.142143345,1.833178676,1.641771109,1.931963759,1.833178676,"Low",0.413508758452943,51.2114131119043,0.00896370833253601
"Stripe-throated Hermit","Phaethornis striigularis",1220,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Phaethornis",0.504588187,0.873775149,6.782543027,0.142143345,1.833509731,1.71366718,1.892297868,1.833509731,"Low",0.422287843265853,52.5447551299874,0.000149020833867641
"Antillean Crested Hummingbird","Orthorhyncus cristatus",1425,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Orthorhyncus",0.505050288,0.874919511,6.923850208,0.142143345,1.836157553,1.734734754,1.895326788,1.836157553,"Low",0.421914094365833,52.4877523485808,0.00023825160304275
"Blue-grey Gnatcatcher","Polioptila caerulea",8543,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Polioptilidae","Polioptila",0.490110201,0.960612219,6.365908413,0.142143345,1.837491668,1.728939101,1.921820311,1.837491668,"Low",0.409305106196245,50.5771070490463,0.0127040435591141
"Ruby-topaz Hummingbird","Chrysolampis mosquitus",1259,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Chrysolampis",0.491744534,0.920118694,7.012970625,0.142143345,1.838620899,1.786177048,1.887633196,1.838620899,"Low",0.416706628790629,51.6957416017265,0.0051813990861484
"Pechora Pipit","Anthus gustavi",9925,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Motacillidae","Anthus",0.466866013,1,6.544885274,0.142143345,1.84169564,1.78816854,1.875701089,1.84169564,"Low",0.408139476798361,50.401692200635,0.013419138996371
"Yellow-throated Bunting","Emberiza elegans",10251,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Emberizidae","Emberiza",0.502816756,0.888942632,7.453952083,0.142143345,1.842926627,1.822115035,1.900273489,1.842926627,"Low",0.419724148359975,52.1541777928306,0.00170274379703433
"White-throated Xenops","Xenops minutus",5022,"PASSERIFORMES","TYRANNI","NEW WORLD SUBOSCINES","Furnariidae","Xenops",0.48,1.144208007,4,0.142143345,1.843044685,1.550139834,2.06728493,1.843044685,"Low",0.379792657260814,46.1981426772357,0.0416216066613658
"Painted Whitestart","Myioborus pictus",10639,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Myioborus",0.469197999,1,6.632516536,0.142143345,1.848723171,1.800624741,1.883941655,1.848723171,"Low",0.407528970794183,50.3098990874823,0.0132788634747673
"Pallas's Leaf-warbler","Phylloscopus proregulus",7907,"PASSERIFORMES","PASSERI","SYLVIOID OSCINES","Phylloscopidae","Phylloscopus",0.365602428,0.950050133,7.363122573,0.142143345,1.520231692,1.861625701,1.526348726,1.861625701,"Low",0.443109417698286,55.7542747760929,-0.023672429809548
"Tennessee Warbler","Leiothlypis peregrina",10542,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Leiothlypis",0.385487676,1,7.070591241,0.142143345,1.618440797,1.862894145,1.627306664,1.862894145,"Low",0.428172121828918,53.445017060888,-0.00886937526517723
"Sora","Porzana carolina",1828,"GRUIFORMES","GRUIFORMES","GRUIFORMES","Rallidae","Porzana",0.308,0.821037313,8.168078558,0.142143345,1.265476084,1.865370331,1.266124018,1.865370331,"High",0.48672424201711,62.697789537056,-0.0676832841545532
"Black-rumped Waxbill","Estrilda troglodytes",9758,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Estrildidae","Estrilda",0.537801151,0.796621501,7.217720167,0.142143345,1.867905905,1.709337944,1.960192445,1.867905905,"Low",0.428016142616008,53.4210846944262,-0.0092428832650111
"Volcano Hummingbird","Selasphorus flammula",1561,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Selasphorus",0.49136084,0.954263985,6.897821113,0.142143345,1.871550921,1.799101076,1.920294284,1.871550921,"Low",0.410168097071557,50.7071098059887,0.00822098386647174
"Vervain Hummingbird","Mellisuga minima",1551,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Mellisuga",0.489069898,0.959848848,7.412264919,0.142143345,1.869899701,1.877016852,1.917063731,1.877016852,"Low",0.409739406974975,50.6425170066663,0.00807500858961213
"Red-breasted Sapsucker","Sphyrapicus ruber",3902,"PICIFORMES","PICIFORMES","PICIFORMES","Picidae","Sphyrapicus",0.469791384,1.031331908,6.8,0.142143345,1.881848945,1.851309687,1.917381983,1.881848945,"Low",0.401621033552109,49.4244956660562,0.0156867813380732
"Cape May Warbler","Setophaga tigrina",10572,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Setophaga",0.386747305,1,7.258253417,0.142143345,1.621578249,1.889569075,1.630649173,1.889569075,"Low",0.427879422296699,53.4001103485804,-0.0113782353220093
"Socorro Wren","Troglodytes sissonii",8578,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Troglodytidae","Troglodytes",0.464836541,0.93450277,7.680533273,0.142143345,1.785614829,1.893406111,1.803090737,1.893406111,"Low",0.421341395761144,52.4004478275535,-0.00523986294837636
